"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"201","Best Place to Stay in Kuching Citadines Uplands Kuching Review https://t.co/qwPrcj930S #asia #lodging #malaysia #reviews #travel",FALSE,0,NA,2020-01-31 06:06:52,FALSE,NA,"1223125475867783170",NA,"<a href=""https://semibudgettravel.com"" rel=""nofollow"">Share Posts to Twitter - SBT</a>","semibudgettrvl",0,FALSE,FALSE,NA,NA
"202","#morning #food #coffee #relax #sea  #beach #asia #vscocam #vscox #travel #nowinter #explore #background… https://t.co/aeYDyUGemS",FALSE,0,NA,2020-01-31 06:02:20,TRUE,NA,"1223124332370509830",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","madeonwater",0,FALSE,FALSE,NA,NA
"203","Looking to relocate? Let Xpats Help you relocate with a dedicated mobility team at your service

#expat #expatwoman… https://t.co/k4Gh1eyIGs",FALSE,0,NA,2020-01-31 05:30:16,TRUE,NA,"1223116264710627328",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Xpatsglobal",0,FALSE,FALSE,NA,NA
"204","The best craft #beer in Kyoto, #Japan #travel https://t.co/digjX1s6CX #alcohol #aroundtheworld #asia #bars #craftbeer",FALSE,0,NA,2020-01-31 05:24:42,FALSE,NA,"1223114864064729088",NA,"<a href=""https://everybodyhatesatourist.net"" rel=""nofollow"">Revive Old Post EHAT</a>","ehatourist",0,FALSE,FALSE,NA,NA
"205","Best Things to Do in KL with Kids (KLCC Area) https://t.co/j7VQgIoQ9n #asia #malaysia #travel",FALSE,0,NA,2020-01-31 05:07:04,FALSE,NA,"1223110423995506689",NA,"<a href=""https://semibudgettravel.com"" rel=""nofollow"">Share Posts to Twitter - SBT</a>","semibudgettrvl",0,FALSE,FALSE,NA,NA
"206","5 Days in Seoul: The Perfect​ Itinerary via @Wheregoesrose 

#Seoul #SouthKorea #travel #Asia #BucketList… https://t.co/w7A9lboBvE",FALSE,2,NA,2020-01-31 04:45:03,TRUE,NA,"1223104885215772673",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","middleagetravel",0,FALSE,FALSE,NA,NA
"207","Nuevamente me dejas sin palabras querida @pukupuko. ARIGATO.
.
.
#amigos #regalos #asia #japon #mexico #gifts… https://t.co/soi6V6v0kY",FALSE,1,NA,2020-01-31 04:03:41,TRUE,NA,"1223094474328375297",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","gms0121",0,FALSE,FALSE,NA,NA
"208","#touristtrap #realthai #food #travel #explore #nightshot #shotoniphone #vscocam #asia #neon https://t.co/56Ugddif0J https://t.co/9dINTQtpoE",FALSE,0,NA,2020-01-31 03:32:13,FALSE,NA,"1223086557789392901",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","madeonwater",0,FALSE,FALSE,NA,NA
"209","RT @heymeru: 🇹🇭 My 10 best Thai food recommendations to expand your horizons beyond Pad Thai! 

https://t.co/9rCxi1j1SB

#thai #thailand #t…",FALSE,0,NA,2020-01-31 03:15:04,FALSE,NA,"1223082239505784832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heymeru",2,TRUE,FALSE,NA,NA
"210","Starting the day with some #delicious coffee up in the mountains of #Chiangdao in the Northern region of #Thailand.… https://t.co/yaDGTuPvS8",FALSE,4,NA,2020-01-31 03:12:36,TRUE,NA,"1223081620648779777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heymeru",0,FALSE,FALSE,NA,NA
